	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
dasatinib	-0.38324115243606727	0.05984532796160479	0.996881496881	0.0031185031185	0.0031185031185	0.996881496881	0.75	0.75
staurosporine	-0.3817343740585788	0.48176305384836504	0.996881496881	0.0031185031185	0.0031185031185	0.996881496881	0.75	0.75
ruxolitinib	-0.35462879186659063	0.021793159692949392	0.993762993763	0.00623700623701	0.00623700623701	0.996881496881	0.875	0.875
PLX-4720	-0.35314824950595736	0.3750095716591549	0.992723492723	0.00727650727651	0.00727650727651	0.996881496881	0.875	0.875
PRIMA-1-Met	-0.33590418460466864	0.029850115462639024	0.988565488565	0.0114345114345	0.0114345114345	0.996855345912	1.0	1.0
simvastatin	-0.3289255039685304	0.021281933666499397	0.984407484407	0.0155925155925	0.0155925155925	0.99474789916	1.0	1.0
XL765	-0.3284032150655358	0.37153517280299964	0.984407484407	0.0155925155925	0.0155925155925	0.99474789916	1.0	1.0
SGX-523	-0.31989316263390516	0.014853240162575854	0.981288981289	0.018711018711	0.018711018711	0.99474789916	1.0	1.0
avicin D	-0.3195919953402326	0.0282008593156408	0.981288981289	0.018711018711	0.018711018711	0.99474789916	1.0	1.0
birinapant	-0.3138141626258939	0.03866714136028379	0.976091476091	0.0239085239085	0.0239085239085	0.994703389831	1.0	1.0
PD 153035	-0.3113411403154428	0.33391074538533977	0.972972972973	0.027027027027	0.027027027027	0.993630573248	1.0	1.0
CBB-1007	-0.3093903723574107	0.03682410891572268	0.966735966736	0.033264033264	0.033264033264	0.989361702128	1.0	1.0
SR1001	-0.3043537690727053	0.05127286520580388	0.960498960499	0.039501039501	0.039501039501	0.985074626866	1.0	1.0
BRD9647	-0.30425085128757745	0.03518037619918391	0.960498960499	0.039501039501	0.039501039501	0.985074626866	1.0	1.0
GDC-0879	-0.30394875931040083	0.37442286561575727	0.960498960499	0.039501039501	0.039501039501	0.985074626866	1.0	1.0
lovastatin	-0.3029207656294037	0.04891371770986014	0.959459459459	0.0405405405405	0.0405405405405	0.985074626866	1.0	1.0
IPR-456	-0.3014256666930738	0.051266682124341	0.959459459459	0.0405405405405	0.0405405405405	0.985074626866	1.0	1.0
CIL41	-0.29963188094592025	0.03392731907373265	0.95738045738	0.0426195426195	0.0426195426195	0.985074626866	1.0	1.0
BRD-A05715709	-0.298363138304674	0.014161343113267506	0.955301455301	0.0446985446985	0.0446985446985	0.985074626866	1.0	1.0
CIL56	-0.29790872724041256	0.040890517666031904	0.954261954262	0.045738045738	0.045738045738	0.985074626866	1.0	1.0
erlotinib	-0.2962379340671078		0.950103950104	0.049896049896	0.049896049896	0.985074626866	1.0	1.0
NSC23766	-0.2944059474077801		0.948024948025	0.0519750519751	0.0519750519751	0.985074626866	1.0	1.0
