	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
kidney	0.4047299194226953	0.07035138170126966	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
ovary	0.3123560741819736	0.00951559570232526	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
kidney.carcinoma.renal_cell_carcinoma	0.2859269586610578	0.024002936460301657	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
liver.carcinoma.hepatocellular_carcinoma	0.2784815467498991	0.012869943441986257	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
carcinoma	0.27583701921404835	0.02292924949098553	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
liver	0.2698350631497571	0.025076003231641626	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
endometrium	0.24188511642167163	0.024184918984511673	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
endometrium.carcinoma.adenocarcinoma	0.24148979239288568	0.047270801630266854	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
lung	0.23358118935631014	0.2601415625728443	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
kidney.carcinoma.clear_cell_renal_cell_carcinoma	0.23175458100647928	0.09497691720970448	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
lung.carcinoma.adenocarcinoma	0.20520783705272358	0.04545670461769179	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
ovary.carcinoma.adenocarcinoma	0.19732856550069064	0.027150848404225478	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
ovary.carcinoma.NS	0.19128458854677	0.026724426708667263	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
ovary.carcinoma.clear_cell_carcinoma	0.19056919578384493	0.020648181244166154	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
kidney.carcinoma.NS	0.17489850008998478	0.14396189075984148	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
lung.carcinoma.non_small_cell_carcinoma	0.15687310003935714	0.031185181435939853	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
ovary.carcinoma.serous_carcinoma	0.15642163482320046	0.041275104678052094	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
pleura	0.1552578126892214	0.1633725729575469	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
pleura.mesothelioma.NS	0.1552578126892214	0.1633725729575469	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
mesothelioma	0.1552578126892214	0.1633725729575469	0.0038461538461538464	1.0	0.0038461538461538464	0.025	1.0	0.025
thyroid.carcinoma.follicular_carcinoma	0.10918875266924025		0.0576923076923	0.942307692308	0.0576923076923	0.347826086957	1.0	0.347826086957
thyroid	0.10899764710087075		0.0615384615385	0.938461538462	0.0615384615385	0.347826086957	1.0	0.347826086957
