Name	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9
SNUPN	0.6017358297250909	0.6188601436918223	0.5892891094361159	0.5795667182977614	0.4909997318905077	0.8918926353314123	0.8998138297637207	0.8490010118390975	0.6726115169968406	0.5221900358429575
CRYL1	0.6333225292488567	0.8197330681620015	0.38509090929661066	0.9212520275853237	0.4156115837308535	0.5612454295939073	0.8124965932769393	0.7488046045540769	0.8047473287456793	0.6228873526979846
TPK1	0.33427082802552277	0.2840301047798275	0.23199946359803833	0.28483135164741974	8.603730132312952e-09	0.40962254464305725	0.5577077555732387	0.4803617965669049	0.35008713072525366	0.6290558685731271
GEM	1.3221645117631882	0.29608827646774827	0.4593112975792354	0.39116412994234667	0.027835586853727563	0.5312317424900338	0.32059909497254074	1.0021212682128253	0.45167707083122627	0.34962774702833327
AP000318.2	0.7744196806025534	0.617609522728835	0.7132858440680768	0.5634296079324992	0.4908280497409435	0.8063873322265918	0.814266887895317	0.8146483528032233	0.7145622938034443	0.7298156730439118
ERCC1	0.9491309852273055	0.849072645971554	0.8011097987766602	0.5976498445585	0.7898332038315417	1.0400811654872602	1.05618278814514	1.0631151227420754	0.8188837386683312	0.7087314271932929
RSAD1	0.7213085378379274	0.8938870877789484	0.8066136710692728	0.6114592675558549	0.44153176473303135	0.8386353122531696	0.9824419999788567	0.9898725916699378	0.7636360518902545	0.68262466111165
AEBP1	0.839939017540976	0.10267052014614378	0.8039643868955528	0.22612991099051424	0.22421457455917368	3.5263155188024956e-21	0.8525202465697964	0.10576649503144905	0.6265106936337472	0.06896624914730744
LEPRE1	1.0332063610255848	0.4480012546634541	0.8248863682337605	0.43632516942072075	0.4493978825258103	1.2172301903133729	1.0976708827902377	0.6763850875526978	0.8266361795267763	0.7458976015736954
RP11-127L20.6	0.2535278241905897	0.2869595435853892	0.3119352024967619	3.561302741501133e-21	0.11615164794845177	0.2665019203033311	0.2706641641012205	0.31656959467791196	0.30514838541675904	1.0470717811753653e-05
NAGS	0.46346491427249986	0.26170020100511937	0.3588381040280634	0.14365665767513466	0.36100091677448637	0.3982618473729885	0.3338263679193924	0.9917233411570671	0.334836321101759	0.23533848301173713
AGPAT5	0.7231721847497273	0.6289486318873938	1.0558189556717144	0.7031476689349277	0.6285181089747388	0.9035890723384742	0.7277250767690104	1.0695725632437025	0.7177960698920686	0.6411570654563432
CNRIP1	1.5489924398222674	0.04229078466607096	0.9153114491553727	0.13846619215978812	2.8402004521257247e-19	4.130425745562502e-05	0.2613692440017354	2.1115843340134614e-06	0.6788409135357185	3.120796516087513e-20
LEPREL2	0.978017343421332	0.24377516317228626	0.8414211575601263	0.22449698562278186	0.14081670655812856	0.5358933918899674	1.3439714310995614	0.5598605601151997	0.6348845579454926	0.0824542141334037
AC046143.3	0.624710890844034	0.3161952516430201	0.4935608119009542	0.40652468175989537	0.33752604243812423	0.41423796502321336	0.5548749398268762	0.5525832962201909	0.41046325000571715	0.28656985553440356
TM4SF19	0.4187280315542793	0.1319585504214732	0.2533186434611445	7.301342770471337e-21	0.4526980164389544	1.0372858812593677	4.311739179376087e-21	0.948081180068371	0.40342373648881075	0.24338788650844148
RP1-12G14.7	0.5012088392137959	0.3816200328171835	0.39262924646556946	0.30310885471216137	0.20499688145690123	0.42667424613126836	0.5833729526300012	0.3782619936399576	0.33728229889854855	0.23193835840972535
NOB1	0.8983531021649328	0.8950398450834245	0.8059755713008772	0.8364083299519354	0.8828611463263353	1.1403005159710256	1.0050377885747943	1.125015820956304	0.7894390191566909	0.811251313244655
