Name	C0	C1	C2	C3	C4	C5	C6
SNUPN	0.6552883049342164	0.7445460970004064	0.709382095816036	0.6170015417687109	0.6543215947533242	0.6042998659518296	0.7478421081991127
CRYL1	0.6484601787233498	1.0261998880814822	0.6963796391915227	0.4278376013914809	0.2762578517190416	0.7397180316379999	0.8214793420501284
TPK1	0.37023297018797985	0.46363357839065833	0.6480097159478583	0.26454877466235316	0.24171660862033914	0.1447593724592773	0.3887403050348075
GEM	0.9505657743690381	0.7156178087187601	0.32660904010175296	0.43898108949950176	0.6782485979864467	3.484198117748014e-07	0.572287071967753
AP000318.2	0.7063155105597673	0.7603764553266649	0.7799946543402674	0.693519095063569	0.6976580469067954	0.5601186592069592	0.7716640231807299
ERCC1	0.898327473800075	0.8865809381501968	0.8693717588580587	0.8259330744052844	0.8959718119922611	0.84724528206982	0.9110650859167655
RSAD1	0.7379875346759623	0.9373992977209644	0.8159763974732159	0.853002754607859	0.6005588900989252	0.6594840431280863	0.8436121097461858
AEBP1	0.8147782386155581	0.13696127956339166	0.1321372783905156	0.6533375052957414	5.585576937104672e-06	0.31930737905679896	0.6580271025399662
LEPRE1	0.9764773546314629	0.511398999547461	0.9878093316226291	0.7916762745107706	0.9098507532838475	0.49670095339823805	0.8764752848356987
RP11-127L20.6	0.22214425857713146	0.12114885362754108	0.12233466045085353	0.33643135851217276	0.20354121751441195	0.1775987912918088	0.353240014989293
NAGS	0.351330522442337	0.5219614086994445	0.2572152790669966	0.35551556323860767	0.6591077324099818	0.16332139788081218	0.47221097476299023
AGPAT5	0.640967562037788	0.9087334901901217	0.6977806175841859	0.9561589864521755	0.9062951531429991	0.5678394246680474	0.8187023392992435
CNRIP1	1.063855700241189	0.00019623095559803132	0.0701989448775021	0.6485364860553051	0.16470938455618622	1.5620163604456592e-19	0.6368645564258362
LEPREL2	1.060014917996962	0.2695099019048128	0.4663115863130714	0.8297419449029132	0.330966774790329	0.29200579007742966	0.7653155736617946
AC046143.3	0.5671857351520219	0.474322793691703	0.359403641676927	0.46433615620261287	0.4125020745161298	0.345029973209304	0.4743824462131881
TM4SF19	0.1759650123430871	0.32722483298255933	0.31443973497373107	0.23571910079315767	1.3235295770470588	0.005857852976840618	0.47931464804260643
RP1-12G14.7	0.5186769588015142	0.37082687043152285	0.37560391423819167	0.4186285636138	0.23708383285789983	0.3418370054546505	0.37966636987441343
NOB1	0.8544375007536447	1.0648388553949524	0.9172601194107151	0.8228964830717834	0.9964052474702059	0.9206143580663678	0.8848418766581674
ENG	1.113907789567881	0.43002479724342046	0.2882381285374251	0.2252074570493167	0.4814542303453975	0.5153530063152957	0.9263256011496211
PCOLCE	1.0943465798423708	0.43687630174486575	0.3888070769376918	0.5566820367827053	0.11633938942583359	0.47277326391200075	0.75793030085628
AC005035.1	0.8501696961869945	0.6791435794707222	0.7507734558880417	0.8796174430839906	1.0673791254529854	0.4032837086545322	0.7533335517289264
STEAP2	0.4404315662631705	0.7457673008222431	0.2886838061386127	0.24421369821334518	0.7695616394192133	0.08551751048233769	0.273371556593081
DHH	0.05030815444932552	0.08364371037336298	0.05747234422019481	0.21852566242174057	0.09732593236163742	0.029683798071310056	0.39757750541941667
