Name	C0	C1	C2	C3	C4	C5	C6	C7
SNUPN	0.714191253001502	0.7804833944947894	0.6773156378884183	0.6560640166018551	0.6914337066637076	0.6538911381132141	0.822806524717203	0.4016547303882851
CRYL1	0.7982211584243238	1.0492897270278339	0.3691776116426954	0.672920702239298	0.6999699455526143	0.776037156306995	0.5040828857649757	0.500029370629654
TPK1	0.702032764406711	0.43071945519834426	0.3700533141892786	0.09414701964510137	0.38109038840491744	0.35412867680413884	0.3317572506928416	0.2174015059974254
GEM	0.24248291080189974	0.7138246398363184	0.8074537397600843	1.0777968024880036e-07	1.014002060769106	0.5217501861970305	0.4934383874915265	0.3519992723320649
AP000318.2	0.7562313050143417	0.7566697231557139	0.7808058917608988	0.569703075600492	0.7504855583075679	0.7122425428326109	0.7837041693426617	0.5672505580710774
ERCC1	0.8500524080909296	0.9132889309129795	0.9343653541288105	0.9034933320590938	0.9558880800908508	0.819091485923912	0.9854954296512366	0.6396535463122436
RSAD1	0.8465091372103589	0.9456317311819648	0.6717497204108085	0.6217617066815302	0.7735912534395185	0.7545475843782498	0.9629817340328743	0.6757981875656375
AEBP1	0.14734486969718422	0.15624111214144557	7.867101686609135e-19	0.2373886076189371	0.8675492029365509	0.6086550420203608	0.7108530511332427	0.38387030552023016
LEPRE1	0.9216282335790085	0.4877374291444314	0.9795004806621824	0.5643120133994932	1.0469688315922212	0.8093289203193981	0.9420112444946551	0.5300094573592687
RP11-127L20.6	0.0830754131014388	0.1246065834204281	0.2170028404377657	0.15596477949357967	0.24260056639462074	0.31628284028693887	0.36068448366750894	0.2593223928596949
NAGS	0.19958885611020039	0.5564175343734397	0.6455980083474224	0.2572082839689408	0.3822202465250402	0.39152230619781675	0.5040532205559048	0.19871521949000231
AGPAT5	0.6384168903426594	0.9449238846438014	0.8909597198425323	0.6493941051402208	0.6704049503230521	0.7175764221000004	1.1328483746357891	0.6208883061428468
CNRIP1	2.4974860060970516e-12	0.039462685627153674	0.0034787498691055472	1.8322249921692562e-20	1.1994573034650926	0.6456619569158165	0.6315804702810686	0.39272034190758054
LEPREL2	0.4758576983096115	0.31450109748925476	0.24636935490453807	0.30314396111086667	1.1290678388856576	0.6235703991118375	1.1255929009160561	0.3141984515001106
AC046143.3	0.3579969195558015	0.5088374948002773	0.3898673155462935	0.38106184886544575	0.6062843688563275	0.40762274454784303	0.5824033066101296	0.2893137390447853
