Name	C0	C1
SNUPN	0.6276755792896239	0.7211988530345136
CRYL1	0.6746597448633739	0.6595549577064265
TPK1	0.29674366172918487	0.4178813635933527
GEM	0.3273629919292504	0.7273231334698176
AP000318.2	0.6356310118182521	0.7780826779481419
ERCC1	0.8125519022303712	0.9380039868562179
RSAD1	0.7244488933489556	0.8276888595984427
AEBP1	0.12765769091657456	0.6479455416272647
LEPRE1	0.5700020354617347	1.0010654396243392
RP11-127L20.6	0.14963026309576713	0.28318588284462926
NAGS	0.36138119463635715	0.4273499594285092
AGPAT5	0.745307685009536	0.8139291709088942
CNRIP1	1.1160761156369778e-21	0.7352607891931788
LEPREL2	0.2526943334056392	0.8877471823923734
AC046143.3	0.36653778831077544	0.5189757104762559
TM4SF19	0.36556488692504513	0.43110752402014524
RP1-12G14.7	0.30477152358019893	0.4519173800353579
NOB1	0.9265002930688578	0.9199222038841316
ENG	0.3341569716351894	0.8145298458513073
PCOLCE	0.3019663668676575	0.799748896171678
AC005035.1	0.6255884723898628	0.8991990353859164
STEAP2	0.4247885519755773	0.3916858417762629
DHH	0.06105691759031007	0.19545939390389305
MTAP	0.6426648954345026	0.6145783035431028
TWIST2	0.06277867873674896	0.4972837396685418
TNFRSF19	0.2979441906232752	0.6536044566282738
ZNF589	0.4866214372075898	0.5644271801157874
RAB31	0.49119228127588155	0.8742103068683212
DUSP6	0.7558466416016358	0.7553528505478398
SLC2A3	0.33365750695454477	0.8092913696481808
TMEM145	0.2522561196464277	0.4512426710673298
EML3	0.7545388296078565	0.8070206953683354
ADAMTSL1	1.4952045808367942e-20	0.4788373791557268
SLC20A1	0.8471907064281383	0.9604888164747206
STX1A	0.59743953881931	0.7404171198234226
ISG20	0.5372188637121649	0.4437171063791477
CTSL1	0.7373293042778906	0.9737622319036835
STARD8	0.12234480327973953	0.5195417380576499
TRAP1	0.9188886393261356	0.8808225996594777
FAM216A	0.5292522499389736	0.8290490606163765
SLC35E4	0.40752697279310696	0.6340409113609007
EXOSC2	0.8044167348389923	0.8259670081531378
RPLP0P2	0.2022127479707707	0.2680891657294364
YBX1	0.9790841326389743	1.003232304514192
HRH1	0.4019919406867852	0.5253554429147961
TSPAN5	0.5036432152024704	0.7281129731322366
CTD-2033A16.3	0.8943591219798912	0.8825066109165032
DPYSL3	0.35355642793563796	0.9414592178846989
PIP4K2A	0.5748292885263525	0.8164066431698687
AC006111.1	0.6855506791576254	0.6665202736589068
RP11-497D6.4	0.11245703375416274	0.2468999776713687
WDR54	0.7277942433607709	0.9026105608796884
FUT8	0.6432258070735518	0.7183095375604803
GPR3	0.3238088740301167	0.5912755931062712
IL1RL1	0.1701434403046625	0.1349761506175786
C2orf89	0.2939869058327313	0.35968436085076105
TOMM34	0.9069083811171422	0.9323944204788347
IFFO1	0.08983549816894919	0.6670727268087512
HMGA1	0.9738862197417251	0.9679437874879145
KDSR	0.6570619676802415	0.7953912363076465
BMP6	0.22900555772149384	0.389366520726353
ETV4	0.7671770430801165	0.6873192866428767
PRDM8	0.2180141557263701	0.5114263732459874
TMEM55A	0.384298098225635	0.7656012357448831
TM4SF19-AS1	0.3407837930137038	0.4093390105144198
CACYBP	0.919709137929738	0.9495839528555897
B4GALT6	0.39655328375902993	0.6339403846897728
RP5-1160K1.6	0.5658355327792741	0.8192509949869926
TPBG	0.620667888590671	0.6441096171408424
LIX1L	0.255864341716556	0.9945909919022808
DOCK10	0.07859688700634168	0.697844599657227
FKBP10	0.6392011703665392	1.0131346697955252
NCBP2-AS1	0.7571219810584345	0.8234787302295169
STC1	0.263828670076672	0.7405629699812271
ANPEP	0.22416195457049762	0.6236052224041524
ARHGAP4	0.48662176323703	0.45197172281496134
RP11-82L18.2	0.2988703286793579	0.40004152363038115
PLOD1	0.81133392053631	0.959058744115024
MMP16	0.04469950749300362	0.6012148551136746
NES	0.3606401624738325	0.7480278942501191
RASA3	0.43678629099685695	0.8644889189349241
DYRK2	0.6635953616831316	0.6775458867772868
U47924.11	0.13718891364947955	0.6975254724164099
CMTM3	0.3817678409269344	0.9148276834144377
IFT57	0.6899364472865157	0.7855488063050593
GNG11	0.27566556160489863	0.986433425428138
DOCK4	0.26424924022004925	0.6143372561691774
RPIA	0.8437949868961195	0.8330571845650621
SRPX	0.20414796141098412	0.8580485898117081
PODXL	0.7107227671247089	0.7184376800261039
MME	0.222875674890944	0.6136573992717967
