Name	C0	C1	C2
SNUPN	0.5788753714224523	0.6845193501213469	0.7440944269854666
CRYL1	0.5474101856626463	0.7457569857465847	0.686234701158072
TPK1	0.3044622631072448	0.3209561893278759	0.4382240244538528
GEM	0.3612466013941773	0.3782424045214949	0.8130548783361757
AP000318.2	0.6253435408586976	0.6842727982541986	0.7987404882638915
ERCC1	0.7297682520613412	0.8942233398117243	0.9767077934915969
RSAD1	0.7901394031304242	0.7424594973427997	0.8041025116824188
AEBP1	0.5384532231286584	0.05793357575351071	0.6058954685265336
LEPRE1	0.6594066162819584	0.6142236335885763	1.0638916711152955
RP11-127L20.6	0.2779020136024908	0.1279961590768506	0.258924530440127
NAGS	0.3010243447523848	0.40722905133396037	0.4576065387064791
AGPAT5	0.7971915262077225	0.7679425725113228	0.7827138744032135
CNRIP1	0.3851046354585123	4.0801038067944534e-22	0.7294699006608404
LEPREL2	0.6723203638701601	0.19174688133523388	0.8770185145432137
AC046143.3	0.39493672156730714	0.3910170794312981	0.5358622249516508
TM4SF19	0.13194170167354283	0.4690910732341545	0.5394721669659952
RP1-12G14.7	0.36652155285918175	0.3129980469698927	0.4563918251357169
NOB1	0.7351700132410048	1.0368598899356385	0.9625470636553571
ENG	0.2693147362575809	0.43012231336926054	0.9650825803252133
PCOLCE	0.5360244505586624	0.2930065900413025	0.8275661037249608
AC005035.1	0.6688082746525171	0.6728810414900034	0.932039623705445
STEAP2	0.18376942667255564	0.5279220714193752	0.46682229427285
DHH	0.22862874161520394	0.02984562591398485	0.14974212496426237
MTAP	0.6347546805640071	0.6706934347214106	0.5852771582450783
TWIST2	0.032197513706808435	0.12684749174508717	0.6327451306805395
TNFRSF19	0.5758472561125042	0.25475571874358466	0.6239391986879473
ZNF589	0.6380890895429482	0.46261839454134523	0.5038834032464441
RAB31	0.2613361110636544	0.6334671353170297	1.0696118057603399
DUSP6	0.4980322574067407	0.882655091640752	0.8351176471895333
SLC2A3	0.30271632463593195	0.41128827187023365	0.9496798172014522
TMEM145	0.8010527042060155	0.10862680290474888	0.2460429169475813
EML3	0.6381832365848645	0.8363339135130656	0.8421752806719801
ADAMTSL1	0.21976668039340055	7.507014268415595e-22	0.4994293135724287
SLC20A1	0.7501636292461004	0.9332902167403141	1.0012472466621989
STX1A	0.6818544368698681	0.6095525375906238	0.7232960019029352
ISG20	0.3401595664573374	0.620426076946258	0.48062120007861747
CTSL1	0.4360327478141379	0.9077061115382905	1.1394702184568504
STARD8	0.20093925935511975	0.14664375128424068	0.5944403722405248
TRAP1	0.8042828222691444	0.9965338452645818	0.8832350926529289
FAM216A	0.7033794573447337	0.5270412544781368	0.8186804843992694
SLC35E4	0.3964304833892186	0.4571402670563374	0.6868839443526891
EXOSC2	0.7735317573882087	0.8537874618406924	0.8143247564693611
RPLP0P2	0.1911163164187567	0.22181387919207343	0.28496145038685944
YBX1	0.8239930766048789	1.0811861065670152	1.038388907875255
HRH1	1.0880445676325769e-11	0.5873747857643686	0.7074517562988452
TSPAN5	0.44642872194367805	0.5750726918165189	0.7950676048919363
CTD-2033A16.3	0.694853544080041	1.0058599467322589	0.9280846702613871
DPYSL3	0.6653864782278288	0.3295007681978898	0.9600002591405682
PIP4K2A	0.5641646794742848	0.6331779672840384	0.8672493659660668
AC006111.1	0.6813445828593809	0.7156920553945959	0.636107032641689
RP11-497D6.4	0.15971630266380663	0.11470853354537729	0.2624478286017338
WDR54	0.7363428764779308	0.7794080630611238	0.9191150721924862
FUT8	0.48284246697642663	0.7392484600186704	0.782220202167192
GPR3	0.5148150740936999	0.3017882314515617	0.5732144596207172
IL1RL1	6.433407998400925e-22	0.2291318303281173	0.19631324916850015
C2orf89	0.04779125602896813	0.40823119448597533	0.4668121191150708
TOMM34	0.7560984886618225	1.0045276680655708	0.9687825976921276
IFFO1	0.28755092983436237	0.090601851451285	0.7444414081369694
HMGA1	0.8002277638515618	1.0792517349583728	1.0022405396295258
KDSR	0.6189152529926583	0.7155782608372029	0.8264971019725715
BMP6	0.3320615137997102	0.21809829622094382	0.38544922321930136
ETV4	0.5196967739539865	0.8818534188212966	0.7391821291782951
PRDM8	0.27636613342122046	0.241482850071572	0.5617688512285742
TMEM55A	0.5145226742909129	0.40069553932220203	0.8030564500200804
TM4SF19-AS1	0.24508325317362126	0.3979802723307314	0.4568943467956695
CACYBP	0.8211719157794107	0.9988075055987463	0.9653330697397774
B4GALT6	0.5902993340787028	0.37238496275433497	0.6041881237218653
RP5-1160K1.6	0.6463380240747666	0.5924708284297128	0.8350061578470797
TPBG	0.26720265307738345	0.7835555581809983	0.7716641877843063
LIX1L	0.6257472055775322	0.22702423765487867	1.0325877484471637
DOCK10	0.3338981079635132	0.06293883481841728	0.7633312307333797
FKBP10	0.6455729744163312	0.7114362569196306	1.0904654843922903
NCBP2-AS1	0.726640404339863	0.8103935708041097	0.825397652699451
STC1	0.4198059780686102	0.27668609866139476	0.7991064706612468
ANPEP	0.08006338181551725	0.3406560761348544	0.7825104382263094
ARHGAP4	0.7672934846269616	0.39621170422797136	0.3111531144830062
RP11-82L18.2	0.2603316449935121	0.33897611865490745	0.43274013432174946
PLOD1	0.6196172971860855	0.9350034341203021	1.0501920002135712
MMP16	0.4406367346753648	1.3353776190006382e-21	0.559871965675451
NES	0.6279344188895597	0.32857239624851153	0.7287284458991569
RASA3	0.4318719324976588	0.5086079393143804	0.9715552736922872
DYRK2	0.6899060062705205	0.6834030502531973	0.6466945496481609
