Name	C0	C1	C2	C3	C4	C5	C6
SNUPN	0.6552883049342165	0.7445460970004018	0.7093820958160358	0.6170015417687118	0.654321594753324	0.6042998659518327	0.7478421081991236
CRYL1	0.6484601787233497	1.026199888081477	0.6963796391915225	0.427837601391482	0.27625785171904205	0.7397180316380016	0.8214793420501412
TPK1	0.3702329701879794	0.46363357839065616	0.6480097159478574	0.2645487746623536	0.24171660862034033	0.1447593724592777	0.38874030503481266
GEM	0.9505657743690383	0.7156178087187565	0.3266090401017538	0.43898108949950254	0.6782485979864499	3.4841981177479586e-07	0.5722870719677613
AP000318.2	0.7063155105597665	0.7603764553266604	0.7799946543402669	0.6935190950635703	0.697658046906796	0.5601186592069621	0.771664023180741
ERCC1	0.898327473800075	0.8865809381501918	0.8693717588580577	0.8259330744052857	0.8959718119922613	0.8472452820698237	0.9110650859167787
RSAD1	0.7379875346759626	0.9373992977209593	0.8159763974732163	0.8530027546078595	0.6005588900989256	0.6594840431280893	0.8436121097461974
AEBP1	0.8147782386155584	0.13696127956339063	0.13213727839051714	0.653337505295742	5.585576937104049e-06	0.3193073790567996	0.6580271025399775
LEPRE1	0.9764773546314625	0.5113989995474569	0.9878093316226289	0.791676274510771	0.909850753283846	0.4967009533982424	0.8764752848357118
RP11-127L20.6	0.2221442585771316	0.12114885362754019	0.12233466045085399	0.3364313585121736	0.20354121751441231	0.1775987912918097	0.35324001498929836
NAGS	0.3513305224423368	0.5219614086994412	0.2572152790669967	0.3555155632386083	0.6591077324099824	0.16332139788081426	0.4722109747629969
AGPAT5	0.6409675620377879	0.9087334901901162	0.697780617584186	0.9561589864521765	0.9062951531429987	0.5678394246680512	0.8187023392992553
CNRIP1	1.063855700241189	0.00019623095559799357	0.07019894487750354	0.6485364860553063	0.1647093845561873	1.5620163604456197e-19	0.6368645564258469
LEPREL2	1.0600149179969625	0.26950990190481106	0.46631158631307246	0.8297419449029145	0.33096677479032904	0.29200579007743144	0.7653155736618052
AC046143.3	0.5671857351520218	0.4743227936917002	0.35940364167692734	0.46433615620261337	0.4125020745161297	0.3450299732093056	0.47438244621319514
TM4SF19	0.17596501234308617	0.32722483298255683	0.3144397349737305	0.2357191007931585	1.3235295770470612	0.005857852976841754	0.4793146480426133
RP1-12G14.7	0.518676958801514	0.3708268704315204	0.37560391423819195	0.4186285636138006	0.23708383285790022	0.3418370054546518	0.3796663698744188
NOB1	0.8544375007536447	1.0648388553949466	0.9172601194107145	0.8228964830717842	0.9964052474702051	0.9206143580663722	0.8848418766581801
ENG	1.1139077895678808	0.43002479724341736	0.2882381285374264	0.22520745704931747	0.4814542303453992	0.5153530063152971	0.9263256011496355
PCOLCE	1.0943465798423715	0.4368763017448632	0.3888070769376933	0.5566820367827068	0.11633938942583391	0.47277326391200175	0.757930300856291
AC005035.1	0.8501696961869937	0.679143579470718	0.7507734558880411	0.8796174430839919	1.0673791254529847	0.40328370865453605	0.7533335517289372
STEAP2	0.44043156626317015	0.745767300822239	0.2886838061386122	0.24421369821334574	0.7695616394192146	0.08551751048233949	0.27337155659308426
DHH	0.050308154449325765	0.08364371037336255	0.057472344220195364	0.2185256624217411	0.09732593236163752	0.0296837980713104	0.3975775054194234
MTAP	0.5429833459543074	0.824291097711001	0.6207485467668968	0.7264140427248125	0.5324312400413169	0.5804377659747118	0.5766115258895386
TWIST2	0.8924498268924868	9.800551743882109e-22	0.2260177445608487	0.06925164687776489	0.32695117377604727	0.19478198681374959	0.20921578196974203
TNFRSF19	0.6646915354190218	0.5401971105692354	0.43560511490944903	0.5177252517564593	0.022129560669615737	0.3209066481781238	0.8382112914383969
ZNF589	0.4014712462486618	0.6653759515675309	0.4409452924583598	0.6792160457932374	0.4155283564212829	0.39974255305475664	0.7060557239234434
RAB31	0.9622992643286719	0.0669247334550179	0.7839246174427166	0.40482327090828374	1.3052677798915673	0.6274806319788755	0.6591105848759402
DUSP6	0.6361108838644327	1.2098871922083752	0.45764917097323654	0.411025010101706	0.9525774150989242	0.5497413981264437	1.0666920986808257
SLC2A3	0.8574384391915879	0.38975103066437194	0.493883227560028	0.29822640249279575	0.7875735838693783	0.24825867602040486	0.9545088577170245
TMEM145	0.11091794117917879	0.3484941168004853	0.12030507919241566	1.0873809767726539	0.34861623124939395	3.1413117568180324e-06	0.5413900505150261
EML3	0.7691424125000239	0.8557599832190398	0.7354555337944347	0.7039187742195624	0.792018157663366	0.7970281008928662	0.8098488764890872
