Name	C0	C1	C2	C3	C4	C5
SNUPN	0.7910019233291171	0.586597199156349	0.6719982090075657	0.5977454668634115	0.7313265579992106	0.7051390652069195
CRYL1	0.8718965890598201	0.4340843711573614	0.95961155423944	0.363561236050788	0.7173707015472844	0.650705422893115
TPK1	0.4329653761488004	0.28987040565635386	0.2942460498019517	0.15932198745752527	0.39041143353105534	0.6041186789472761
GEM	0.43714929924783397	0.3797280526415603	0.5036251212352233	0.09590156894478911	1.0983789430368585	0.6100517093059491
AP000318.2	0.7815319899245087	0.6735630948609348	0.6602121325338903	0.5842372158355665	0.7966499140460782	0.7850105282096654
ERCC1	0.9196476677212024	0.7899725167060655	0.859133628662752	0.8396220224074307	1.000896131290224	0.878702882111028
RSAD1	0.8833739618916546	0.8234089150473161	0.8440673818388487	0.5184685060978291	0.829993300178753	0.7929924472055858
AEBP1	0.5421551586796892	0.636838028270189	0.1551992695722165	0.17384094027271343	0.8605244037212417	2.1358284235092055e-19
LEPRE1	0.8545289457257735	0.7897237056543966	0.36462744584591317	0.820352683235871	1.0592495291369883	0.9111063927207833
RP11-127L20.6	0.32953787202487794	0.3042081360532994	0.13359467143949924	0.17146777568038096	0.27662200863182745	0.1173772405360067
NAGS	0.4587786400899144	0.28702171901638723	0.429888445700813	0.28161404724006217	0.46402215139398073	0.4543356380624276
AGPAT5	0.8401488332404513	0.8763436865255915	0.8096794727663608	0.6256524242729198	0.7742927588947879	0.7965672611575854
CNRIP1	0.38594445943808187	0.6008298410096211	2.9178445755579708e-21	0.05212702155237413	1.1817003527740972	1.9147951672408647e-07
LEPREL2	0.7344551926305415	0.7985950607729085	0.20583397379168053	0.3608663119861428	1.119682828103167	0.2656173124862728
AC046143.3	0.46053776089053095	0.43102151847396275	0.4399759545860861	0.321570057857375	0.6264054201757617	0.38468331284490526
TM4SF19	0.4106837041534579	0.1682561713461729	0.15174160122862917	0.611311190406471	0.3356842653913575	0.7656993278763748
RP1-12G14.7	0.380741646968568	0.41199445139610147	0.35543360165668747	0.2702208378062175	0.5435249243896902	0.3176820793919379
NOB1	0.9191697869550514	0.7791384207693001	1.0256034386048	0.8911313426347169	0.9563747024653442	0.9886974115578115
ENG	0.7414606623582164	0.21713800660569646	0.4817742317510619	0.4259810382355502	1.2592396423320922	0.30562654412328294
PCOLCE	0.740561955690456	0.547158420522844	0.4278578246232501	0.2819495703506877	1.1223240885816719	0.2016736206022804
AC005035.1	0.6974735905104605	0.8167900274197595	0.5472982780335669	0.6958719535984356	0.9778080837346417	0.8857050531336276
STEAP2	0.28163789120026755	0.17531759996864435	0.5929920353335242	0.21397560761453718	0.5269350723187957	0.614648850972391
DHH	0.389693292426136	0.19020165550667203	0.03733442438222215	0.05308417514445516	0.10814666006170465	0.04362770821166787
MTAP	0.6254151073053894	0.6886815639371305	0.7605425428038076	0.4700582926396666	0.6013771906828363	0.641070736234626
TWIST2	0.13443843464308464	0.08417197750539068	3.9322761206703936e-17	0.46257171671281117	0.8780299278004157	0.10343984999470406
TNFRSF19	0.8022818185605927	0.5341245665721603	0.4202151056819431	0.10249455520548496	0.7493510926711593	0.29041054857940324
ZNF589	0.7715854704705044	0.613272051196612	0.5864743734360496	0.30349135497234614	0.49585501627818657	0.43141135808903686
RAB31	0.5716879973978519	0.40238211151908165	0.0912404132201446	1.2397949013806377	1.0307302538903145	0.832201939432217
DUSP6	1.0478977844556185	0.3371233683658551	1.067455567040474	0.47780730590888004	0.8404720668697624	0.7570667979434256
SLC2A3	0.9296519390132162	0.25713700546063406	0.24136112481098332	0.5330092062022143	0.9748156930609098	0.5597606132078313
TMEM145	0.5735026109115919	0.9251706105939598	0.2475415254351485	0.050904306467078164	0.22275337600016715	0.18400705013172075
EML3	0.8213920001489599	0.6679906127322284	0.846962353783769	0.7325249667571473	0.8639149815340345	0.7730800361321861
ADAMTSL1	1.4375554226897634e-19	0.368836941013956	0.06830179324217253	0.005649330084450118	0.9377452795469932	0.01270311020180218
SLC20A1	0.8744330571756457	0.826554193729061	0.95610269603436	0.7804087074244067	1.067101369478271	0.9344217895383897
STX1A	0.4649062152309922	0.840946191498472	0.7275397751481715	0.3829048418044491	0.8734922694236893	0.7148992028293427
ISG20	0.6874582215334555	0.23500730485189394	0.704634369906017	0.33032823265220934	0.3854605988874262	0.609425524385561
CTSL1	0.9545612080673632	0.46246775174389426	0.5238076494650709	1.1565483943964951	1.0331153351007136	1.0741137698458434
STARD8	0.48216237443673443	0.19754161792593058	4.4594355832520784e-08	0.13407165277740998	0.5711675101295736	0.59241341151086
TRAP1	0.9381422727889095	0.8517387004140766	1.0124336028500758	0.8303480570310833	0.844231811585945	0.9566869850867311
FAM216A	0.7081172635340995	0.8288927868782014	0.4468689265404935	0.5115654295123683	0.8225895357877208	0.8217263220015637
SLC35E4	0.6640069411118545	0.3636255125842423	0.5474064292187003	0.30562547436115	0.8110790426718957	0.4370034325562991
EXOSC2	0.8565926672545162	0.8476606024413205	0.8501875386597234	0.7687900057642724	0.7880647660544081	0.8236109020426181
RPLP0P2	0.20166654747900226	0.16550283614436298	0.4686976524809138	0.011470610741417281	0.4992850045475074	0.011020483584052717
YBX1	0.9220050623217088	0.9142308886806796	1.094985349063688	0.9478763068314938	1.0864335391738522	0.9964210155834791
HRH1	0.05915254311389229	8.783527508909155e-11	0.5243706238194792	0.42787855856372425	0.9511778078693359	0.7257565026760401
TSPAN5	0.1619462240376886	0.6137758044485195	0.7588245009729708	0.42155001188461294	1.2225075725558685	0.4248272461253423
CTD-2033A16.3	0.9048699060337022	0.7255926901946752	0.9801887277107519	0.864885007985172	0.90304097100928	0.975596735434261
DPYSL3	0.31776925291879715	0.9555349136071462	0.3088561377834901	0.42782559214812016	1.3035175735532087	0.5759914152615058
PIP4K2A	0.7531754723263807	0.5974948022474426	0.5937060378749919	0.4781764935011074	0.8870313479927252	0.8971211458354565
AC006111.1	0.8089345415703819	0.685726773129669	0.7615108771662672	0.5388598718523455	0.5735826038788177	0.7310839874952609
RP11-497D6.4	2.5022230601899148e-11	0.18251656856841691	0.2690185278904919	4.11078328537292e-21	0.5062327819778364	0.06785969738273093
WDR54	0.7576177967824089	0.9072251649818939	0.579583560638111	0.9072037421848405	0.8773191302076196	0.9315486996665961
FUT8	0.5338324596109766	0.5613043349615711	0.7350295160235852	0.6147741506694356	0.8704445827852157	0.7571124815541443
GPR3	0.8491373914799186	0.4392584503481963	0.37045626961161965	0.21289227005746103	0.5725917206741548	0.3666614362118548
IL1RL1	2.1744270803120753e-11	1.1591574614813245e-21	0.18106812035414493	0.23645414612509785	0.26114587855085025	0.20755464300251186
C2orf89	0.32924999237026353	4.187615923018619e-21	0.5404858565263984	0.01568438778363137	0.6266235116186494	0.38982301288671317
TOMM34	0.8893407055845434	0.8262811852881774	1.0062051722453804	0.8852356286647185	0.9944609159253257	0.9355604458587841
IFFO1	0.6766110597258849	0.21261688135124054	0.14448113586687517	0.0644031751078669	1.0069891734248384	0.18774763255829993
