Name	C0	C1	C2	C3
SNUPN	0.6508919256299274	0.6455977661190039	0.5220596979791303	0.8590647995867182
CRYL1	0.8544215440426609	0.5356812318551949	0.40276408021781185	0.8334616728263972
TPK1	0.4089698317776059	0.3031947721503365	0.14610204132618698	0.5352080460486157
GEM	0.5103547314506174	0.3462907841036409	0.13717846901572203	1.023897866842546
AP000318.2	0.6672680182252061	0.7010884913418978	0.5122835557652984	0.9226081663585903
ERCC1	0.7970840506852684	0.832909434784965	0.7328374256739854	1.1175072453238255
RSAD1	0.8061852552191362	0.8602597434365582	0.48791207312939444	0.9314785726383493
AEBP1	0.07962958835020166	0.6648378433673452	0.11704243209598023	0.6745834392660657
LEPRE1	0.4792177913773942	0.8017913654877364	0.6185949939670153	1.2084841327760254
RP11-127L20.6	0.1161453629800939	0.3354054657360174	0.132580684468457	0.2841747245816464
NAGS	0.42633423359685274	0.31400966242481143	0.2627572767254255	0.5474156724010115
AGPAT5	0.7781269872194547	0.8890617036810424	0.5564300684796045	0.8900841940907022
CNRIP1	1.0906194736367522e-21	0.5599279035649951	3.937742859136807e-21	0.8585544673051879
LEPREL2	0.19755139331256005	0.8175063688965494	0.24100888367985954	0.9928537794453786
AC046143.3	0.3924510832656563	0.4407316989755202	0.29020420990600765	0.6253753377125367
TM4SF19	0.3140622428024037	0.16256746388105736	0.4559512572243695	0.6315177285993664
RP1-12G14.7	0.31644652818363983	0.4123944509968004	0.24031269505379588	0.5286343741837299
NOB1	0.9458232892584628	0.8185705295739678	0.8025336164191377	1.1067898571403283
ENG	0.3528001340150559	0.31514300416944946	0.3886953547283488	1.1573618463333086
PCOLCE	0.3186552403259265	0.6184606326946105	0.24590544797096633	0.9715983635526216
AC005035.1	0.5979341410685771	0.7825925075478057	0.5773616737299346	1.0654127743766568
STEAP2	0.5823383210300771	0.1560915855445136	0.2599161498342286	0.5857567606857335
DHH	0.0646216169749777	0.2675162985715267	0.02030935478956319	0.1636240958261556
MTAP	0.7006177259979971	0.6919785860646608	0.4490891872044658	0.6702412577203057
TWIST2	8.355801074973393e-22	0.07913128642836052	0.2901673565178633	0.7025321404798492
TNFRSF19	0.4011091828012821	0.6099123826697114	0.1019353542699285	0.7511073389107367
ZNF589	0.5467365033627022	0.6969473172560802	0.281546206292467	0.5757473957340844
RAB31	0.17446308784312728	0.42619296839002235	0.9202531148914489	1.1827198783181856
DUSP6	0.956220690539122	0.47082290079843747	0.5081467792453145	1.0241922069577325
SLC2A3	0.3142899930538219	0.370294655987495	0.4056163896346639	1.123145453284738
TMEM145	0.2688873427549837	0.9119521520102953	0.026338871150278793	0.24087825815008357
EML3	0.7639129052238649	0.7142402740338603	0.6570047655446389	0.9690088592950863
ADAMTSL1	0.00045461223941364404	0.3013889024868175	1.615719981197851e-07	0.6107197923991048
SLC20A1	0.8779038947040154	0.8373109108205837	0.7131002079425451	1.1580007265373045
STX1A	0.6746142459024187	0.7452295312823647	0.39360554559243405	0.8407043738488148
ISG20	0.6759874448890105	0.31914839336584044	0.34989474459043735	0.5860885470140195
CTSL1	0.5986806305064462	0.5526752057135426	0.9255254773959856	1.3028917722490656
STARD8	0.21655136762034866	0.20246286566078026	0.05437112117233097	0.7408541937421331
TRAP1	0.94300724169723	0.8930551320748634	0.7499076425340457	1.0072642509362149
FAM216A	0.54362450083973	0.8015852342261327	0.4085605319324822	0.9396818265453631
SLC35E4	0.49237654036120815	0.4221313938849382	0.29167905137427474	0.827428013714776
EXOSC2	0.791839091211424	0.8765605617374997	0.6748410205003692	0.9181544299288886
RPLP0P2	0.2679071079697105	0.18264096001386856	0.11699141590440179	0.35018171121339803
YBX1	0.9760299067792726	0.928483675658539	0.8583774282906091	1.186288868932408
HRH1	0.48309941538041956	4.019263863444694e-21	0.42101744145230924	0.8729732541561208
TSPAN5	0.5314711520741768	0.5025974274652455	0.4496207708267511	0.9366391991360715
CTD-2033A16.3	0.917668028284246	0.7715523898291692	0.7749978158047671	1.0693323923925335
DPYSL3	0.30927988342942986	0.8078491743774258	0.3359930944451385	1.0970523433111008
PIP4K2A	0.66599517859789	0.6089213149684645	0.42577243210895943	1.0306140681694689
AC006111.1	0.7427753488774557	0.7417691928377627	0.4876143724287646	0.7288413120722489
RP11-497D6.4	0.18352503627598452	0.14276596280186338	0.03398113095997947	0.33006019942633436
WDR54	0.6182561283092189	0.8851099376150693	0.7357696900452921	1.0214563791430364
FUT8	0.6655059301968113	0.5412506947491249	0.5760956752527168	0.9100052216314121
GPR3	0.3934306058781025	0.5522090734323967	0.17521604967344986	0.6801170911241166
IL1RL1	0.1390717896288969	8.098518149559894e-22	0.22182261824490357	0.23699496527849628
C2orf89	0.4923335877712158	5.36594365975225e-05	0.10309211220772072	0.6339673555678785
TOMM34	0.9086270980026204	0.8502820042839443	0.7945495318398328	1.1087462800556236
IFFO1	0.161279423800596	0.2962566483774318	0.04529384991503001	0.9284790835133291
HMGA1	0.9831099371568893	0.8951869250268272	0.8420146243309775	1.1479693127330797
KDSR	0.6695636804546963	0.6950252040383573	0.5619849572767508	0.9542009945883119
BMP6	0.17833082189654212	0.40459779320928085	0.22621570382128528	0.425835288777458
ETV4	0.9698406549782127	0.4942306380040468	0.4902850902967355	0.9051299581808934
PRDM8	0.2793304481162043	0.3060022154374401	0.14711635578427182	0.6783915529640515
TMEM55A	0.40598007404354336	0.5866542206552854	0.3217738434530001	0.9413201692087012
TM4SF19-AS1	0.32418853637783307	0.2808448203451948	0.3469851647103845	0.5305717212344626
CACYBP	0.9235316590541495	0.9240301261728922	0.7794637233969027	1.1003485020084272
B4GALT6	0.4651259440728186	0.6451615715773307	0.2229426289804105	0.7051813139350743
RP5-1160K1.6	0.5968677642356123	0.7251956727325076	0.4483253236288919	0.9689396170679483
TPBG	0.45711258877451616	0.3563490981701417	0.835085741464666	0.8685523453773647
LIX1L	0.23155786373763645	0.7608721179282751	0.25471566880177277	1.194492289030856
DOCK10	0.05587396755612292	0.4164475867036633	0.12263339916303866	0.8982733578247729
FKBP10	0.6615150140693614	0.7322858754374452	0.5783214170079939	1.276479723150088
NCBP2-AS1	0.7425417270844067	0.8276772015730629	0.6500801241125934	0.9350108168676095
STC1	0.1420229301369019	0.5453651730564816	0.38748085488576917	0.9039534361647575
ANPEP	0.34670183791654197	0.05940635938753549	0.20027638329001773	0.9885052143810211
