Name	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9
SNUPN	0.6017358297250895	0.6188601436918161	0.5892891094361113	0.5795667182977614	0.4909997318905132	0.8918926353313994	0.8998138297637153	0.8490010118390855	0.6726115169968377	0.5221900358429546
CRYL1	0.633322529248855	0.819733068161992	0.38509090929660816	0.921252027585323	0.41561158373085916	0.5612454295939023	0.8124965932769368	0.7488046045540616	0.8047473287456777	0.6228873526979805
TPK1	0.33427082802552127	0.2840301047798249	0.23199946359803633	0.28483135164742135	8.603730132306803e-09	0.40962254464305436	0.5577077555732365	0.4803617965668974	0.3500871307252528	0.6290558685731233
GEM	1.3221645117631806	0.29608827646774566	0.4593112975792307	0.3911641299423519	0.027835586853727112	0.5312317424900267	0.32059909497253614	1.0021212682128107	0.4516770708312243	0.34962774702833377
AP000318.2	0.7744196806025506	0.6176095227288295	0.713285844068072	0.5634296079325005	0.49082804974094685	0.806387332226582	0.8142668878953128	0.8146483528032088	0.7145622938034418	0.7298156730439105
ERCC1	0.9491309852273021	0.8490726459715465	0.8011097987766534	0.5976498445585028	0.7898332038315471	1.0400811654872437	1.056182788145136	1.0631151227420592	0.8188837386683276	0.7087314271932921
RSAD1	0.7213085378379243	0.8938870877789389	0.8066136710692665	0.6114592675558591	0.44153176473303424	0.8386353122531579	0.9824419999788524	0.9898725916699218	0.7636360518902517	0.6826246611116474
AEBP1	0.8399390175409731	0.10267052014614302	0.8039643868955466	0.2261299109905111	0.22421457455917632	3.526315518802436e-21	0.8525202465697954	0.10576649503144527	0.6265106936337442	0.06896624914731099
LEPRE1	1.0332063610255804	0.4480012546634508	0.8248863682337539	0.4363251694207179	0.4493978825258146	1.2172301903133567	1.097670882790234	0.676385087552692	0.8266361795267732	0.7458976015736898
RP11-127L20.6	0.25352782419058895	0.2869595435853877	0.31193520249675877	3.561302741501108e-21	0.11615164794845288	0.26650192030332365	0.27066416410121785	0.31656959467791274	0.30514838541675715	1.0470717811753979e-05
NAGS	0.46346491427249825	0.26170020100511665	0.3588381040280601	0.14365665767514493	0.36100091677448787	0.39826184737297887	0.3338263679193879	0.9917233411570501	0.334836321101756	0.235338483011741
AGPAT5	0.7231721847497241	0.6289486318873859	1.0558189556717061	0.7031476689349292	0.6285181089747454	0.9035890723384593	0.7277250767690074	1.0695725632436859	0.7177960698920657	0.6411570654563413
CNRIP1	1.5489924398222605	0.04229078466607242	0.915311449155367	0.1384661921597844	2.8402004521274176e-19	4.130425745564863e-05	0.26136924400173317	2.111584334014024e-06	0.6788409135357171	3.12079651608742e-20
LEPREL2	0.9780173434213285	0.24377516317228515	0.8414211575601193	0.22449698562277984	0.14081670655813228	0.5358933918899581	1.343971431099557	0.5598605601151959	0.63488455794549	0.0824542141334013
AC046143.3	0.6247108908440313	0.3161952516430176	0.49356081190094947	0.4065246817598936	0.33752604243812795	0.41423796502320753	0.5548749398268735	0.552583296220184	0.41046325000571565	0.2865698555344019
