Name	C1	C3	C9	C8	C6	C7	C5	C2	C4
SNUPN	0.6188283268467571	0.6867131791168257	0.6149097369533615	0.5770711108548534	0.6542486982005661	0.6401599947280711	0.6268128771163031	0.9503476791236124	0.7161492429922299
CRYL1	0.8115605293791461	0.9582517685927704	0.5089638142413719	0.451391291886029	0.8083803971808409	0.3894376076248519	0.6617481512882698	0.7107709142180904	0.7314405803707971
TPK1	0.2641210904725152	0.4040213256936887	0.12809235110499473	0.2462416308528693	0.3436684730461378	0.27972783108584803	0.6563784607829498	0.5179880664945848	0.3979379359817732
GEM	0.2270152639597877	0.6247445089152647	4.0857772450310254e-09	0.45756967745145294	0.5301520706473556	1.1603754065481	0.385525355536152	0.4531041884475951	0.9127038909347012
AP000318.2	0.6473427535858275	0.6708954700676361	0.5520253431110953	0.6985224086555779	0.7204302403038875	0.7555917563044053	0.7702172581520109	0.8274865308026431	0.7465241203116592
ERCC1	0.9110054385321298	0.762179494480023	0.8011445945220186	0.7893672414455335	0.8266154758665766	0.933337506163884	0.8147661691445216	1.0668428677801571	0.9719874740149628
RSAD1	0.8695733182540876	0.7775741489106583	0.5014499888850844	0.8103527277058401	0.753326989142216	0.6867632773698337	0.7283780921039719	1.052303707945046	0.8133129955535591
AEBP1	0.16099257059418645	0.14519036394628368	0.2355570021357865	0.7750833573349536	0.7297381427894453	0.10699835255590197	0.13493054841827734	0.238647507414385	1.0076048168669052
LEPRE1	0.3843891875365283	0.480989036744252	0.7235654261284473	0.7929064800918548	0.8124131656220359	0.8671534701970854	0.9922556965397809	1.0022497834132	1.058603850936352
RP11-127L20.6	0.3166835076420228	6.543617019910495e-17	0.06011732626305207	0.2769336729016901	0.30355128132675885	0.29018288617582416	0.03370784040515624	0.4097664559299856	0.2477170572926333
NAGS	0.29966733574423216	0.454856436569031	0.2477893759793146	0.31951817025991713	0.3642766134795921	0.8054771902364708	0.18657764300022536	0.5811682035508504	0.29869110595139386
AGPAT5	0.6001150473358282	0.8809013249243172	0.6798127893961993	0.9887921717878176	0.7139100861259299	0.9421041416000752	0.6613677980151954	0.9697037922613664	0.6313240319123741
CNRIP1	3.108203386971023e-21	8.410075427776282e-20	2.2140908230093753e-20	0.8054238412341217	0.759090816881325	0.4028270231095441	0.1584030547061224	1.4909822684688005e-14	1.225254947061148
LEPREL2	0.1429825910976877	0.2491336427892794	0.3323607711846459	0.7737529263706212	0.6380518615554315	0.4164569081599687	0.2761545384456077	1.050197100397681	1.2591543582068867
AC046143.3	0.3014014047097212	0.4792431812449943	0.3781545536135337	0.4802257264899517	0.425188803024247	0.4637087756407183	0.3496584322331308	0.4972222473109994	0.623423183252812
TM4SF19	0.1526787731922371	0.2607398883227067	0.42120933119923504	0.22396788555280608	0.409772166770163	1.397598184883731	0.3886266460115118	0.3713187936572909	7.632102211783692e-21
RP1-12G14.7	0.33766308935480593	0.33118880500382225	0.2846720116983814	0.3990297528372126	0.3317815725270765	0.2742616546442859	0.3282496910076093	0.5077216623885366	0.602554497639652
NOB1	0.9616796397092258	0.9715509852348782	0.9228966631362704	0.7925211224884141	0.7872669785587197	0.9998971508590524	0.8803566151721715	1.0985982515538806	0.8972262402711098
ENG	0.7345983627625999	0.19077104357329727	0.1848811757296966	0.1889609842277144	0.9347726959217736	0.946886361929726	0.2389502433132881	0.479078109264895	1.2256532765377783
PCOLCE	0.4459732318756056	0.3456167358391849	0.2911430173545113	0.47415695810616404	0.6306129489803818	0.2636254339289707	0.20147953335577135	0.90317454065132	1.3606037239200628
AC005035.1	0.3974196851444223	0.6599887313058487	0.6600395797146162	0.9507712572817784	0.7084638644047604	1.1334722679308729	0.8380357517135195	0.7251814034668276	0.8404114677169148
STEAP2	0.24456531071291385	0.7612901886185479	0.2753482829151052	0.18425926658273448	0.17033377867594604	0.8617236378797967	0.2751778499859611	0.5112736212513025	0.38041739212904135
DHH	0.06716706964966533	0.049267766587438366	0.013284463397693552	0.22305330875080587	0.3495362949230342	0.1402718090361526	1.013593602706171e-20	0.2989750883371422	0.05367744627770908
MTAP	0.5202224307183279	0.8550652140954312	0.6285708392210347	0.7733700987715787	0.5197828684591441	0.4870382682535308	0.6126082461302406	0.7082530676351216	0.589780293327034
TWIST2	3.415041332852089e-21	1.301444440571492e-21	0.3726186571451419	0.03901735023759455	0.14854493231525667	0.3148160654914603	0.16119938065159847	0.3665637495953307	1.0562307793995656
TNFRSF19	0.12245680966601795	0.6879088036494668	0.3260920482398939	0.7832866488817676	1.0436432291382314	0.07113069291155738	0.5875570912242498	0.0036315356728405202	0.8010352243096056
ZNF589	0.4916619665916158	0.6058553586152086	0.3356876652114055	0.6210884183247458	0.5625605469417142	0.4533460275625606	0.261492852793454	0.9754915345217468	0.4485051153626167
RAB31	0.49893261709788894	2.127337442239257e-18	0.8277343940399895	0.2555166631583412	0.542201848509682	1.2577538861907092	0.6983810200843702	1.002939925805243	1.0046224584088317
DUSP6	0.6961213390061148	1.1454819339762097	0.6079226880622028	0.448194273591202	0.9788981550087856	1.2023973345067236	0.3972751633093756	0.8101413684587715	0.5714553299791844
SLC2A3	0.1243015802143698	0.4144136822271087	0.4728301114942702	0.2431259408617847	0.7874150480796783	0.8139286851168491	0.32905337677424845	1.0331407625351623	0.954707408120154
TMEM145	0.20050447763847465	0.2627593703243811	5.335650961754275e-18	1.0599309189851884	0.3915901507538995	0.42736292939351495	1.1398647000569871e-10	0.8021325569020025	0.08273970761498216
EML3	0.9067919368461708	0.7102205658343863	0.7017933554637963	0.6583126297972367	0.7214837427759839	0.8612279632766746	0.6692172182803802	0.9609137950731506	0.8245254069609972
ADAMTSL1	4.258922990327664e-21	0.05096108646540662	2.6523703760480383e-20	0.4223506263330344	0.0737743507524269	0.2383019955048284	0.1212018426348843	4.675659458881665e-15	1.187760869686853
SLC20A1	0.9352168856378492	0.8600886042183571	0.7379715560212049	0.89942232258334	0.8555766696420817	1.1932706093525975	0.8234492000142011	0.8974814826890037	0.9411645830832313
STX1A	0.6737215339198642	0.6144562797491543	0.2563243393223093	1.0178761971383676	0.5418796445395305	1.3387432255049478	0.5099954873830068	0.4759115842070583	0.598994423340045
ISG20	0.7831655594903719	0.5651968621921635	0.26624215108888866	0.2486032046643338	0.6770063505225744	0.7628733138585523	0.4578278409812957	0.45898948806908296	0.21265615236767588
CTSL1	0.9069404543163191	0.3618324368996213	0.8891245250385129	0.32072038632931565	0.8811399501425261	1.1128110520960268	1.0226760700014146	1.152530237514876	1.023748020697413
STARD8	0.000330657595793612	0.19669073819974395	1.1229094380751284e-06	0.11916626536803016	0.4170315954834418	0.4578058989162608	0.5762286186353522	0.5690932375451755	0.5791152288376763
TRAP1	0.9838962804198872	0.9462868282313779	0.8523180931883588	0.864126411784813	0.7767820351894431	0.9213396677818556	0.8412458863424195	1.1451348370328334	0.7772738916483014
FAM216A	0.3489806530797375	0.5635812277334833	0.4041322476776227	0.8709459552017537	0.5741426350694955	1.035102534025227	0.6219791018080671	1.0424831101419716	0.6848439903066943
SLC35E4	0.32469630542360184	0.6297005211593816	0.3599201620390856	0.3872142070146299	0.5725801944507293	0.6194841218654487	0.2840443368223756	0.7444045321489927	0.7773488304642908
EXOSC2	0.8173471493026986	0.7965143474745836	0.764360440507373	0.8791351483636426	0.701485077886219	0.9297787774972124	0.6715825231378861	1.0951884386407944	0.6948174749219513
RPLP0P2	0.3940461971795535	0.2861786621318156	0.11714877514987153	0.2226201780923288	0.29627050920709824	0.23738170770084024	0.007962217543424998	0.034430264572624714	0.497106059743574
YBX1	1.1058500587806823	0.9596289091988748	0.9645297248293658	0.9505075463570444	0.8597040205907955	1.0192805936939184	0.9755631782586356	1.027089361677357	1.0541625334052027
HRH1	0.28565079249073444	0.5752904026471785	0.3919003695769199	1.91607409584495e-19	0.20060817501645745	1.2430049097160256	0.5415842287030131	0.1237594961587192	0.7651518386873218
TSPAN5	0.6363722004086266	0.5285330462021701	0.3929531551591362	0.7469123176818704	0.34358262134793294	1.194655727230469	0.3114480622891385	0.21386280339356	1.1072980861668518
CTD-2033A16.3	0.8926449326154492	0.9573957786021848	0.8987269675000193	0.7349690225566586	0.7563768474194941	0.9930442420493168	0.8388123995658671	1.098358966414626	0.8324357591534356
DPYSL3	1.2868540824078677e-08	0.4689701598240239	0.4300669291111999	1.3454758308904644	0.6505780154447754	1.1593963851744358	0.7491001993288499	7.207702252550925e-18	1.1069109106526962
PIP4K2A	0.6562917689993442	0.5899073038298119	0.35254401574144084	0.5944944462106752	0.735931046736384	0.905463246937249	0.8600240943824414	0.7697567412562293	0.8124662594109274
AC006111.1	0.6616069946484003	0.7921865603780682	0.5774700667523959	0.6795664258921971	0.587443205926527	0.6601737386495458	0.5545372441605412	1.082130530636923	0.5098338664183302
RP11-497D6.4	0.20494987606871	0.19132259618027286	2.7541874086773096e-20	0.22357861833430365	0.14915134631916074	0.2434100770070669	0.08276199174828143	3.5934927675638606e-21	0.4974199859426395
WDR54	0.6959483119377111	0.5191057917114338	0.7591662026963282	0.951940554706288	0.6862177750470171	1.1848810192919956	0.8237481196015574	0.9870235062188609	0.7439765457631887
FUT8	0.7486249773565679	0.6028399390949805	0.4990376928417847	0.5838051457877542	0.5138051044980368	1.1836263695074167	0.5446389649050961	0.7073738512721308	0.7132706964108511
GPR3	0.26683853520340944	0.4421425027425436	0.16478618068682324	0.4801843647084358	0.6992447120239915	0.6654158918838029	0.12689727489724292	0.8974904386790895	0.4254909870730268
IL1RL1	0.12721510138842745	0.12527099963730215	0.19302219477585766	3.684226840547309e-21	0.11116372589593586	0.6635494363080663	0.031399832627748016	0.0019324432739151235	0.10617665959151792
C2orf89	0.026131297737587888	0.8283840242376959	0.14470673252341018	6.012327157492957e-12	0.2467800272019317	0.7024152514416068	0.11052213874312077	0.4298497269875985	0.4633590602027468
TOMM34	0.9389651102245	0.933148623113755	0.9125480818253816	0.876895218200116	0.8033228164910333	1.0523812592867063	0.8464274148984307	1.0069843125235791	0.914002456584076
IFFO1	2.440905653793543e-06	0.30749099151945125	0.13304038749555205	0.2761646461806156	0.8758482639155681	0.1884737210656797	0.3577494581139966	0.18888999324773195	1.1395337326244654
HMGA1	1.0945221101340108	0.9713365403940944	0.9283230776319192	0.9217580558275772	0.8426969035620854	1.1065672202690673	0.8857738602527601	1.02292798394191	0.9607688169589276
KDSR	0.6174795347051042	0.7212576702389295	0.6800979104216972	0.7758005551289932	0.7099343734081617	0.8356567991820629	0.7051030071745701	0.6786491327643565	0.8384105580963719
BMP6	0.15514087597368756	0.15695930096507896	0.26165768242135024	0.3721745805001594	0.22620009160989274	0.15572913178025166	0.4477560083499868	0.5632395561792178	0.4496629056051333
ETV4	0.6193695758952926	1.1781924462862918	0.5697518133156416	0.37099835044733576	0.9395555198980642	1.2074733183229251	0.3284217418304253	1.1257722496254514	0.2788535587245017
PRDM8	5.524150891184822e-07	0.38971782937557004	4.607034118169135e-08	0.6160403299204729	0.13577667966564472	1.3513943808038555	0.1025696114774558	0.1300200738136136	0.5502234673164406
TMEM55A	0.3219332781000778	0.4287324274363285	0.3328929673527282	0.6265955409529319	0.7817138433863327	0.8371486007592697	0.4790740494805154	0.6340827215685759	0.7796846941280272
TM4SF19-AS1	0.1834828825009086	0.2957774640656072	0.32836038621036473	0.3146054897382397	0.3893514630855244	1.0273637193609284	0.3378896955249396	0.5286391457814171	0.012160620369711191
