Name	C0	C1	C2	C3	C4	C5	C6	C7
SNUPN	0.7141912530015072	0.7804833944947889	0.6773156378884216	0.6560640166018524	0.6914337066637106	0.6538911381132149	0.8228065247172095	0.4016547303882845
CRYL1	0.7982211584243278	1.0492897270278339	0.3691776116426972	0.6729207022392947	0.6999699455526177	0.7760371563069955	0.5040828857649794	0.5000293706296541
TPK1	0.7020327644067164	0.430719455198344	0.37005331418928034	0.09414701964510089	0.381090388404919	0.3541286768041391	0.33175725069284484	0.21740150599742464
GEM	0.24248291080190212	0.7138246398363173	0.8074537397600887	1.0777968024879558e-07	1.01400206076911	0.521750186197031	0.4934383874915298	0.35199927233206385
AP000318.2	0.7562313050143468	0.7566697231557139	0.7808058917609038	0.5697030756004889	0.7504855583075716	0.7122425428326116	0.7837041693426672	0.5672505580710772
ERCC1	0.8500524080909346	0.9132889309129781	0.9343653541288163	0.9034933320590893	0.9558880800908558	0.8190914859239122	0.9854954296512444	0.6396535463122435
RSAD1	0.8465091372103644	0.9456317311819634	0.6717497204108122	0.621761706681527	0.7735912534395227	0.7545475843782505	0.9629817340328812	0.6757981875656384
AEBP1	0.14734486969718494	0.1562411121414455	7.867101686608575e-19	0.23738860761893582	0.8675492029365545	0.6086550420203608	0.7108530511332481	0.38387030552022894
LEPRE1	0.9216282335790141	0.487737429144431	0.9795004806621868	0.5643120133994909	1.046968831592226	0.8093289203193983	0.9420112444946628	0.5300094573592679
RP11-127L20.6	0.0830754131014394	0.1246065834204278	0.21700284043776719	0.1559647794935788	0.24260056639462185	0.3162828402869389	0.3606844836675116	0.2593223928596951
NAGS	0.19958885611020194	0.5564175343734397	0.645598008347426	0.25720828396893947	0.38222024652504205	0.3915223061978171	0.5040532205559088	0.19871521949000187
AGPAT5	0.6384168903426641	0.9449238846438011	0.8909597198425369	0.649394105140218	0.6704049503230548	0.7175764221000014	1.1328483746357982	0.6208883061428461
CNRIP1	2.497486006097124e-12	0.0394626856271535	0.0034787498691049384	1.832224992169215e-20	1.199457303465097	0.6456619569158162	0.6315804702810736	0.3927203419075796
LEPREL2	0.47585769830961483	0.31450109748925437	0.24636935490453818	0.30314396111086567	1.1290678388856625	0.6235703991118382	1.1255929009160646	0.3141984515001101
AC046143.3	0.35799691955580404	0.5088374948002767	0.3898673155462956	0.38106184886544414	0.6062843688563305	0.40762274454784375	0.5824033066101346	0.2893137390447846
