Name	C0	C1	C2
SNUPN	0.5788753714224563	0.6845193501213519	0.7440944269854677
CRYL1	0.5474101856626511	0.7457569857465892	0.6862347011580726
TPK1	0.30446226310724733	0.32095618932787773	0.43822402445385333
GEM	0.36124660139418013	0.37824240452149716	0.813054878336177
AP000318.2	0.6253435408587021	0.6842727982542033	0.7987404882638923
ERCC1	0.7297682520613464	0.8942233398117309	0.9767077934915978
RSAD1	0.7901394031304296	0.7424594973428055	0.8041025116824192
AEBP1	0.5384532231286627	0.05793357575351131	0.6058954685265342
LEPRE1	0.6594066162819638	0.6142236335885803	1.063891671115297
RP11-127L20.6	0.27790201360249284	0.12799615907685155	0.2589245304401272
NAGS	0.3010243447523873	0.40722905133396287	0.4576065387064796
AGPAT5	0.7971915262077286	0.7679425725113281	0.7827138744032145
CNRIP1	0.38510463545851553	4.0801038067944764e-22	0.7294699006608406
LEPREL2	0.6723203638701657	0.1917468813352353	0.8770185145432147
AC046143.3	0.3949367215673107	0.39101707943130043	0.5358622249516515
TM4SF19	0.13194170167354383	0.4690910732341577	0.5394721669659952
RP1-12G14.7	0.3665215528591847	0.3129980469698947	0.4563918251357175
NOB1	0.7351700132410107	1.0368598899356458	0.9625470636553579
ENG	0.2693147362575831	0.430122313369263	0.9650825803252142
PCOLCE	0.5360244505586665	0.29300659004130425	0.8275661037249615
AC005035.1	0.6688082746525223	0.6728810414900085	0.9320396237054459
STEAP2	0.1837694266725572	0.5279220714193784	0.4668222942728505
DHH	0.2286287416152058	0.029845625913985114	0.14974212496426245
MTAP	0.6347546805640122	0.670693434721415	0.5852771582450789
TWIST2	0.03219751370680867	0.12684749174508783	0.6327451306805395
TNFRSF19	0.5758472561125089	0.25475571874358627	0.6239391986879479
ZNF589	0.6380890895429534	0.4626183945413482	0.5038834032464445
RAB31	0.26133611106365634	0.6334671353170334	1.0696118057603414
DUSP6	0.4980322574067444	0.8826550916407578	0.835117647189534
SLC2A3	0.3027163246359342	0.4112882718702361	0.9496798172014527
TMEM145	0.8010527042060219	0.10862680290474995	0.24604291694758157
EML3	0.6381832365848692	0.8363339135130715	0.8421752806719808
ADAMTSL1	0.21976668039340216	7.507014268415628e-22	0.49942931357242887
SLC20A1	0.750163629246106	0.9332902167403208	1.0012472466622
